trial,seed,object_class,feature_type,detected,pixel_error,iou,confidence,latency_ms
32,32,mug,handle,0,54.993794887281574,0.0,0.48461536597633204,68.19476300000815
33,33,washer,hole,1,1.0039251295885236,0.13197519929140833,0.2375,31.260571999951026
33,33,box,surface,1,0.5580731831240967,0.0,0.08545,31.260571999951026
33,33,mug,handle,0,179.49779662118505,0.0,0.36595743902218214,31.260571999951026
34,34,washer,hole,1,0.34139636399955026,0.8170731707317073,0.0875,28.325487999950383
34,34,box,surface,1,1.03331721144305,0.0,0.07749,28.325487999950383
34,34,mug,handle,0,116.38442404098555,0.0,0.367441851919957,28.325487999950383
35,35,washer,hole,1,1.2551636565474447,0.13197519929140833,0.2375,29.222012999980507
35,35,box,surface,1,1.428638406855891,0.0,0.09295,29.222012999980507
35,35,mug,handle,0,98.73422237497267,0.0,0.36666665902777795,29.222012999980507
36,36,washer,hole,1,0.7040142877310722,0.13197519929140833,0.2375,29.947663999962515
36,36,box,surface,1,1.1967516952963777,0.0,0.08828,29.947663999962515
36,36,mug,handle,0,144.13765242640352,0.0,0.38297871525577204,29.947663999962515
37,37,washer,hole,1,0.816034350974317,1.0,0.0875,28.41433800000459
37,37,box,surface,0,145.43496484165829,0.0,0.0361,28.41433800000459
37,37,mug,handle,0,98.22681555130357,0.0,0.36842104293628836,28.41433800000459
38,38,washer,hole,1,0.4967837004926916,0.8170731707317073,0.0875,28.682963999983713
38,38,box,surface,0,-1.0,0.0,0.0,28.682963999983713
38,38,mug,handle,1,18.70238790384112,0.0,0.46461537746745574,28.682963999983713
39,39,washer,hole,1,27.12644713983582,0.0,0.25,66.8130720000022
39,39,box,surface,1,1.145633111000617,0.0,0.09277,66.8130720000022
39,39,mug,handle,0,77.34088010958855,0.0,0.31636363061157036,66.8130720000022
40,40,washer,hole,1,0.48023364150196546,1.0,0.0875,71.9119599999658
40,40,box,surface,0,-1.0,0.0,0.0,71.9119599999658
40,40,mug,handle,1,23.68229044906875,0.0,0.5359999892800003,71.9119599999658
41,41,washer,hole,0,125.16145022535345,0.0,0.25,61.04197100000874
41,41,box,surface,1,0.6381423988484625,0.0,0.10219,61.04197100000874
41,41,mug,handle,0,135.52876709239786,0.0,0.32142856568877565,61.04197100000874
42,42,washer,hole,1,0.5762377817338321,0.13197519929140833,0.2375,66.15396899996995
42,42,box,surface,0,-1.0,0.0,0.0,66.15396899996995
42,42,mug,handle,0,121.61791230154357,0.0,0.3746031686570926,66.15396899996995
43,43,washer,hole,1,0.37141710846341625,1.0,0.0875,75.28627600004256
43,43,box,surface,0,-1.0,0.0,0.0,75.28627600004256
43,43,mug,handle,0,-1.0,0.0,0.0,75.28627600004256
44,44,washer,hole,1,0.36883315880746675,0.8170731707317073,0.0875,31.33063399997127
44,44,box,surface,1,0.18091324133803233,0.0,0.06993,31.33063399997127
44,44,mug,handle,0,63.1590821457732,0.0,0.3545454464876035,31.33063399997127
45,45,washer,hole,0,97.77331743702953,0.0,0.2375,28.179972999964775
45,45,box,surface,1,1.1879990443704067,0.0,0.09783,28.179972999964775
45,45,mug,handle,0,96.4240128594822,0.0,0.3490196009996157,28.179972999964775
46,46,washer,hole,1,0.8844728430828159,0.7738095238095238,0.0875,29.300519999992503
46,46,box,surface,0,-1.0,0.0,0.0,29.300519999992503
46,46,mug,handle,0,62.20854422298332,0.0,0.42666665244444485,29.300519999992503
47,47,washer,hole,1,0.49569009011262954,0.7738095238095238,0.0875,28.87122200002068
47,47,box,surface,1,0.4802023853185524,0.0,0.07061,28.87122200002068
47,47,mug,handle,0,61.21729975595998,0.0,0.35909090092975227,28.87122200002068
48,48,washer,hole,1,0.4712318878274803,0.7738095238095238,0.0875,27.52461500000436
48,48,box,surface,1,0.8577770241563956,0.0,0.07481,27.52461500000436
48,48,mug,handle,0,128.9816236071751,0.0,0.40487803890541374,27.52461500000436
49,49,washer,hole,1,0.46981823353753926,0.8170731707317073,0.0875,27.15521999999737
49,49,box,surface,0,-1.0,0.0,0.0,27.15521999999737
49,49,mug,handle,0,56.104732455924776,0.0,0.449999983928572,27.15521999999737
