trial,seed,object_class,detected_x,detected_y,detected_z,gt_x,gt_y,gt_z,error_x,error_y,error_z,error_total
4,1004,mug,0.07615304111677003,0.17506832820941665,0.46042470107592237,0.05299532169795126,-0.16780677057832294,0.45999999999999996,0.02315771941881877,0.3428750987877396,0.0004247010759224068,0.3436565054067605
5,1005,washer,0.048724017062796186,-0.16255842817917193,0.41588481716219033,0.04776432927229232,-0.17167947260692135,0.426,0.0009596877905038645,0.009121044427749414,0.010115182837809655,0.013653987547619187
5,1005,box,nan,nan,nan,-0.008856270549751438,0.13719407419316976,0.48,nan,nan,nan,nan
5,1005,mug,-0.009397825168682563,0.16256076551599452,0.4619586504320675,-0.06247555459568494,-0.1151012400111736,0.45999999999999996,0.05307772942700238,0.27766200552716813,0.0019586504320675546,0.28269642902946307
6,1006,washer,0.07430419850263506,-0.10478931544327941,0.4196559707570894,0.07293820865937045,-0.10943026602982497,0.426,0.001365989843264609,0.004640950586545567,0.006344029242910609,0.00797816129403039
6,1006,box,nan,nan,nan,0.0427601489202695,0.1529421840641788,0.48,nan,nan,nan,nan
6,1006,mug,0.043998324828874266,0.1822852521820244,0.46245327444728723,-0.026395648244809656,0.010206549635393525,0.45999999999999996,0.07039397307368392,0.17207870254663088,0.002453274447287268,0.18593657486020365
7,1007,washer,0.014995551881842942,0.12311030604702289,0.42393833091774824,0.014474970076379712,0.11888851862098049,0.426,0.00052058180546323,0.0042217874260424,0.002061669082251749,0.004727047058321067
7,1007,box,nan,nan,nan,-0.14816733273407276,0.08626437240804019,0.48,nan,nan,nan,nan
7,1007,mug,-0.15774563328686184,0.11906455638814872,0.4565047960314259,0.04511409391299825,-0.09417750781215624,0.45999999999999996,0.2028597271998601,0.21324206420030495,0.0034952039685740566,0.2943407265649634
8,1008,washer,0.03367175811816721,0.18037666115094275,0.41981562649755355,0.03420075977719128,0.1718958041941162,0.426,0.0005290016590240726,0.008480856956826544,0.006184373502446439,0.010509579111228243
8,1008,box,nan,nan,nan,-0.0735269606315216,0.04657417620065046,0.48,nan,nan,nan,nan
8,1008,mug,-0.07701554526953508,0.06655888637267149,0.4628637946719202,-0.0105952648368744,-0.1598281688466543,0.45999999999999996,0.06642028043266068,0.22638705521932578,0.0028637946719202168,0.23594692993034316
9,1009,washer,0.03465370895292978,-0.12900590416712182,0.4197485583731187,0.034464083869315626,-0.13417014990263704,0.426,0.0001896250836141561,0.005164245735515216,0.006251441626881293,0.008110851626273717
9,1009,box,-0.0632470994178739,-0.07318557990093277,0.46171304885519077,-0.059702611107929085,-0.09062044063727757,0.48,0.0035444883099448182,0.0174348607363448,0.018286951144809216,0.025513728626912063
9,1009,mug,-0.0632470994178739,-0.07318557990093277,0.46171304885519077,0.1235379866871485,0.01929689803528864,0.45999999999999996,0.1867850861050224,0.09248247793622141,0.0017130488551908019,0.20843371045218329
10,1010,washer,-0.026068868408832747,0.014539683410619009,0.4579890303102036,-0.03172305416483903,-0.12976301121968917,0.426,0.005654185756006284,0.14430269463030818,0.031989030310203614,0.14791394644967906
10,1010,box,nan,nan,nan,0.07877463090650713,0.008563961528719022,0.48,nan,nan,nan,nan
10,1010,mug,0.03948981638397579,0.025323104322222956,0.45955489081161643,0.008264964575422442,0.014977707261075557,0.45999999999999996,0.03122485180855335,0.010345397061147399,0.0004451091883835301,0.03289706268055703
11,1011,washer,0.04751230945120935,-0.04372022883110599,0.4246493858169466,0.046704259899179895,-0.04570376541456439,0.426,0.000808049552029455,0.0019835365834584007,0.001350614183053378,0.002532097969652393
11,1011,box,0.044821537928755345,0.10592323895449551,0.45500500824749823,0.03795364358411171,-0.15512689502847965,0.48,0.0068678943446436325,0.26105013398297516,0.02499499175250175,0.26233392849184817
11,1011,mug,nan,nan,nan,0.07296133370354282,0.10017055856218238,0.45999999999999996,nan,nan,nan,nan
12,1012,washer,-0.1445003792160273,0.13072807422530475,0.4157407119475012,-0.14198119403362744,0.11711852877265161,0.426,0.0025191851823998523,0.013609545452653138,0.010259288052498816,0.01722843616684926
12,1012,box,nan,nan,nan,-0.05783543621478392,0.024932805469895986,0.48,nan,nan,nan,nan
12,1012,mug,-0.08360115629381903,0.04887316392602403,0.4681110848305821,0.07859114562817823,0.0032163887482655473,0.45999999999999996,0.16219230192199727,0.045656775177758485,0.00811108483058215,0.1686910596905408
13,1013,washer,0.017919675310596073,-0.1706470131947858,0.4156695531330541,0.017111577677050738,-0.17793165462837887,0.426,0.0008080976335453349,0.007284641433593059,0.010330446866945897,0.012666378925018571
13,1013,box,-0.07582431898424295,0.17215432901521138,0.4623221713220158,-0.07080380284281111,0.14376166996452228,0.48,0.005020516141431841,0.028392659050689106,0.017677828677984175,0.03382091508317324
13,1013,mug,-0.07404046859108455,0.1731704206140562,0.461660536418359,-0.10687034963828632,-0.08674137806156589,0.45999999999999996,0.03282988104720176,0.2599117986756221,0.0016605364183590599,0.26198225428751315
14,1014,washer,-0.08157730258184295,0.08630724109758015,0.4225862288610286,-0.08046017253641875,0.08088490984604119,0.426,0.0011171300454242,0.005422331251538959,0.0034137711389714,0.006504113246944552
14,1014,box,-0.05410610641023273,-0.1458947039873254,0.4569299944493014,-0.050751666995005704,-0.16362623609746518,0.48,0.003354439415227027,0.01773153211013978,0.023070005550698602,0.02928966798843256
14,1014,mug,-0.05410610641023273,-0.1458947039873254,0.4569299944493014,0.10123485539906285,0.17355379016403066,0.45999999999999996,0.15534096180929557,0.31944849415135607,0.0030700055506985846,0.35522891178152616
15,1015,washer,0.03864879353488996,-0.13815723545104364,0.417699683175607,0.03825344048125634,-0.14424939364856823,0.426,0.00039535305363361944,0.006092158197524594,0.008300316824392973,0.01030368647261671
15,1015,box,nan,nan,nan,0.0353005305416762,0.059339925478859745,0.48,nan,nan,nan,nan
